Name,Age,Quantity,Product Type,Distributor,Base Price,Margin,Total Price,Sold By,Date,Membership Number
Jannel,69,6,Modern Sarees,India,9694,117,6356,Jannel Behagg,9/9/2022,01JGGCHANF0MRHBTQJX29MBNQ0
Roxana,40,7,Handloom Sarees,India,8022,290,9160,Roxana Reveland,8/21/2022,01JGGCHANGYGQ72Q5HPVQZZCFK
Bernardine,38,12,Embroidered Sarees,India,5447,63,3511,Bernardine Cuberley,9/2/2022,01JGGCHANHM2N4ZM1MDS0HNHK2
Karoly,74,2,Silk Sarees,India,6404,189,6101,Karoly Burland,11/17/2022,01JGGCHANKHDB91GNMKG3TFCMS
Clio,79,13,Silk Sarees,India,3942,196,6497,Clio Pydcock,11/17/2024,01JGGCHANM4C21J0J903MXFH1R
Emmye,67,8,Regional Specials,India,6276,280,2890,Emmye Normand,4/27/2023,01JGGCHANNWFQYF2PXQ8NG09FX
Imogen,59,7,Regional Specials,India,7147,220,2448,Imogen Sawrey,3/16/2023,01JGGCHANPQSJJM7ZWC2W8MBJM
Ortensia,55,9,Handloom Sarees,India,2304,117,9389,Ortensia Doniso,2/8/2023,01JGGCHANQG834J9BYZ2MAVDHW
Cherrita,36,13,Modern Sarees,India,5044,283,3884,Cherrita Salmond,9/15/2024,01JGGCHANRB2QWNBD1PWETQ3JA
Maurise,42,15,Silk Sarees,India,3574,340,2981,Maurise Sancraft,2/25/2024,01JGGCHANS2W13J2E1AVBXRYWZ
Beth,76,4,Modern Sarees,India,9002,195,2452,Beth Costley,12/12/2024,01JGGCHANTDKD043JM3V9GQBQV
Joscelin,67,10,Cotton Sarees,India,2490,18,4074,Joscelin Sussems,12/24/2023,01JGGCHANV8AZCQRT23Q3YWBA4
Janessa,56,7,Cotton Sarees,India,7936,340,6538,Janessa Beeson,1/5/2023,01JGGCHANX17NR64TD9SXR1GN3
Anabal,79,2,Regional Specials,India,2741,101,2128,Anabal MacSkeaghan,5/19/2024,01JGGCHANYVQ313F5664QZB0Y2
Alia,36,2,Handloom Sarees,India,4093,189,2527,Alia Zanettini,10/18/2023,01JGGCHANZ9HH0WZ3BH2TKCSRK
Bernadene,50,15,Cotton Sarees,India,1298,285,1856,Bernadene Blooman,12/15/2024,01JGGCHAP07BTYR0WA9N6WKSGZ
Eilis,36,8,Silk Sarees,India,4349,318,7171,Eilis Van Son,1/9/2024,01JGGCHAP2TXFNYRM9F5N7MRXV
Fiann,77,15,Handloom Sarees,India,3169,214,9524,Fiann Gian,6/11/2022,01JGGCHAP39MX1YC41HR65N6KF
Ardelis,67,2,Regional Specials,India,7453,72,2174,Ardelis Hyett,12/2/2024,01JGGCHAP4WXEW24CAXM2WTR6A
Madelaine,29,8,Modern Sarees,India,3484,65,1757,Madelaine Dudill,6/13/2023,01JGGCHAP52D1YNAV11AXP1RC4
Florinda,60,14,Cotton Sarees,India,5949,364,5398,Florinda Desporte,6/16/2022,01JGGCHAP6DZDSENWEXJQ5TJ1G
Kylynn,67,3,Embroidered Sarees,India,1458,356,9631,Kylynn Falk,7/23/2023,01JGGCHAP75CQ49DV6M3717ESJ
Luise,42,7,Modern Sarees,India,7207,111,9001,Luise Staley,1/10/2023,01JGGCHAP9ZTKJT1HWXT7RTXJ1
Arlie,74,13,Cotton Sarees,India,4085,50,6023,Arlie Baskwell,8/19/2023,01JGGCHAPAHX8Y1KVGCSD83XRY
Aimil,73,12,Regional Specials,India,7771,259,1103,Aimil Tipperton,6/14/2023,01JGGCHAPBKKT3DG0NJ7A1Y29P
Loleta,34,8,Embroidered Sarees,India,9461,133,2447,Loleta Hawley,7/1/2022,01JGGCHAPDFSDH4Y53C28MNBBG
Benni,65,5,Modern Sarees,India,882,68,1348,Benni Ewdale,4/20/2023,01JGGCHAPEVE1RV9E0WM9Y3PH3
Estrellita,48,8,Regional Specials,India,4153,334,4488,Estrellita Ayerst,5/16/2023,01JGGCHAPF8BJXSAGMEPYQA8NJ
Alis,57,6,Embroidered Sarees,India,1664,47,4624,Alis Sprouls,7/28/2022,01JGGCHAPJMDSQHS014SBM9AK9
Gena,39,13,Handloom Sarees,India,7237,392,3283,Gena Hartshorn,6/15/2024,01JGGCHAPNYZCBQWN0BPGQZ9YR
Valeda,68,7,Silk Sarees,India,2570,210,4159,Valeda Spens,4/17/2024,01JGGCHAPRNJ7G32NSCX21ANDW
Glynnis,30,12,Cotton Sarees,India,8277,319,2250,Glynnis Middle,8/9/2024,01JGGCHAPVCQ98HGX4GR8VBJJ0
Eleanor,21,3,Silk Sarees,India,438,32,1995,Eleanor Janczak,4/10/2024,01JGGCHAPWWTS2K3400ZDZE0FW
Marjory,30,11,Silk Sarees,India,445,76,239,Marjory Rentz,11/14/2024,01JGGCHAPXY6TD8FW5NMWXV7DT
Jewelle,23,10,Handloom Sarees,India,2745,222,6978,Jewelle Staker,9/21/2022,01JGGCHAPY80GE3SXM2VTSZPCE
Teddie,37,7,Modern Sarees,India,7407,34,508,Teddie Durn,1/10/2024,01JGGCHAPZ68CWPJWH5MHVVNJ4
Mable,56,9,Embroidered Sarees,India,3263,285,9273,Mable Absolon,11/13/2022,01JGGCHAQ00RKN3T3X34WY92XW
Angelita,45,14,Regional Specials,India,2803,216,621,Angelita Hutfield,12/20/2024,01JGGCHAQ26MT75DHQRZSR5038
Claire,78,3,Embroidered Sarees,India,4180,241,1286,Claire Hasson,5/14/2024,01JGGCHAQ3GSK05Z3ZJCF587DA
Martynne,79,13,Silk Sarees,India,8716,208,5937,Martynne Bowbrick,4/25/2024,01JGGCHAQ4M2JCE66C07AR6VNJ
Loreen,70,1,Handloom Sarees,India,5555,188,4837,Loreen Kemish,12/1/2023,01JGGCHAQ5ECRD7M9FFJVPAJH0
Briney,38,7,Embroidered Sarees,India,3745,251,2602,Briney Beddie,2/14/2024,01JGGCHAQ620QXGPE6QYDKRCPT
Loreen,40,12,Cotton Sarees,India,6329,333,7270,Loreen Gwyther,12/22/2022,01JGGCHAQ70RYJQPW37EK4JB5S
Inge,57,13,Modern Sarees,India,2617,248,2607,Inge Digman,10/2/2023,01JGGCHAQ90NGRQR0WST02JYXQ
Marina,47,2,Silk Sarees,India,7193,47,4632,Marina Upson,7/13/2022,01JGGCHAQAZX1AC5G1G3ETRQ27
Gabriel,46,10,Silk Sarees,India,3368,49,7682,Gabriel Aglione,11/22/2023,01JGGCHAQBSFV7KWVYZ3GQ93JY
Maris,80,14,Handloom Sarees,India,3559,171,7642,Maris Curedale,6/29/2023,01JGGCHAQCFZ4CA0FV95YCC8AN
Amii,26,5,Handloom Sarees,India,1602,106,6550,Amii Simmans,8/13/2023,01JGGCHAQD9PK8SKWY3KT759RY
Layney,44,12,Handloom Sarees,India,6647,358,7793,Layney Frudd,5/7/2024,01JGGCHAQE283JTS4YVCJKTVHW
Joellen,67,12,Embroidered Sarees,India,6929,334,7935,Joellen Haggus,10/23/2024,01JGGCHAQF42KAABRSN4ERC4TP
Chickie,65,9,Regional Specials,India,3808,197,7573,Chickie Franies,5/10/2024,01JGGCHAQGPC19DJEHWT0J66RD
Sibyl,77,15,Embroidered Sarees,India,5374,314,8330,Sibyl Feares,2/21/2024,01JGGCHAQJ3Z7JK3M8YQ5E5Y92
Felicle,69,3,Embroidered Sarees,India,7215,234,9633,Felicle Baldazzi,11/12/2022,01JGGCHAQKY6995067TVJMPAN9
Fannie,50,13,Regional Specials,India,9137,167,3140,Fannie Lawey,12/29/2024,01JGGCHAQMDKV9SV4JZ3PSNY6D
Eddi,36,14,Regional Specials,India,1865,143,3569,Eddi Swigger,2/1/2023,01JGGCHAQNQBQV8NQG27G65K4Z
Carilyn,78,3,Silk Sarees,India,9215,333,9826,Carilyn Hulbert,2/17/2023,01JGGCHAQPH4P3XAEMBYWYCTT2
Catherina,75,2,Handloom Sarees,India,8741,77,8766,Catherina McColm,6/17/2024,01JGGCHAQQS8HD9G7XMXCKRGAR
Andie,47,14,Regional Specials,India,1911,265,790,Andie Fluit,12/2/2024,01JGGCHAQR3594T1TRQNPVJNW4
Marrilee,51,12,Cotton Sarees,India,5194,219,6614,Marrilee Thunders,4/17/2024,01JGGCHAQSBG9NYB7WSNA03NC2
Garnet,31,1,Modern Sarees,India,2863,50,6054,Garnet Kindall,8/21/2022,01JGGCHAQTZ0VS7KFG44APX2TQ
Glori,40,7,Modern Sarees,India,9911,106,3924,Glori Ambrois,5/7/2024,01JGGCHAQV8R0A0R3RXP5FV876
Alvira,64,15,Cotton Sarees,India,8845,306,3048,Alvira McMullen,4/8/2023,01JGGCHAQWMY938BFBVM367A6Q
Donielle,48,15,Regional Specials,India,8656,333,4379,Donielle Corringham,4/17/2023,01JGGCHAQYNWAH3SGM4BJCWTH0
Shayna,36,10,Cotton Sarees,India,5566,323,5733,Shayna Reynoldson,12/15/2024,01JGGCHAQZ47YZ9MNM5BQT88B7
Amalea,38,2,Embroidered Sarees,India,7205,81,6766,Amalea Lucia,12/9/2023,01JGGCHAR0W8M4KWX97NF5TQFE
Mirabel,51,13,Cotton Sarees,India,1637,287,754,Mirabel Learmont,7/17/2022,01JGGCHAR1F1JYEVKBQHVFY607
Risa,48,14,Regional Specials,India,3026,161,8664,Risa Duddle,6/30/2022,01JGGCHAR2Q46GDQA173K47AEF
Brianne,44,6,Embroidered Sarees,India,9472,239,8057,Brianne McCoveney,9/7/2022,01JGGCHAR3WKJ0S57X3V33VF6E
Yolande,42,13,Regional Specials,India,4683,181,8632,Yolande Claricoates,12/27/2024,01JGGCHAR46ACR7B580P42D13G
Christye,23,10,Embroidered Sarees,India,2958,383,3462,Christye Blakeston,3/25/2024,01JGGCHAR5E66T9SNFG218YDQ2
Henrieta,72,8,Embroidered Sarees,India,505,111,8829,Henrieta Allender,11/3/2022,01JGGCHAR60TFT7Q9ESK0BMSRJ
Desiri,67,2,Modern Sarees,India,7615,225,4810,Desiri Nestoruk,5/11/2023,01JGGCHAR7VFCTB7P064CCX4NS
Con,26,12,Silk Sarees,India,2418,259,2838,Con Berntssen,6/29/2024,01JGGCHAR8B6WYTMWTY6TYCM9G
Lesli,61,12,Regional Specials,India,3008,331,6102,Lesli Schreurs,9/5/2022,01JGGCHARACDF8CM6NQ31JF2C4
Cicely,61,13,Cotton Sarees,India,5280,34,7475,Cicely Brikner,10/28/2024,01JGGCHARAG20Q988DHDX02STN
Anna-maria,77,14,Cotton Sarees,India,960,65,6635,Anna-maria Sowood,6/1/2024,01JGGCHARCMGVM3QKHX0F34FHM
Reggi,73,14,Cotton Sarees,India,9332,354,2958,Reggi Omrod,6/17/2023,01JGGCHARD28Z2HB99VRA34PSN
Cthrine,76,13,Handloom Sarees,India,3261,126,8253,Cthrine Sawley,6/1/2023,01JGGCHAREXG7KRA6X20JNPDBR
Jobina,70,14,Cotton Sarees,India,8214,325,860,Jobina Gawkes,5/2/2024,01JGGCHARFZ2NNW809DFVCK0HA
Carmina,39,5,Handloom Sarees,India,4287,135,9720,Carmina Clemow,4/25/2023,01JGGCHARG4VKVBC5T58MCXXG3
Beckie,61,15,Handloom Sarees,India,289,1,783,Beckie Gilhoolie,1/30/2024,01JGGCHARHPVW770ZJ3EY1K49R
Lenette,44,3,Handloom Sarees,India,1947,227,4709,Lenette Pridden,7/14/2022,01JGGCHARJNERN29MQ3456C3BY
Cosetta,34,9,Handloom Sarees,India,4589,170,125,Cosetta Meriguet,6/18/2023,01JGGCHARKXNBGMSH9E8VPDT5T
Valencia,35,9,Cotton Sarees,India,8373,364,2934,Valencia Fitzharris,10/30/2023,01JGGCHARM8333X6J2B7VQRHRT
Gaby,49,1,Modern Sarees,India,745,82,7702,Gaby Linzey,3/25/2024,01JGGCHARN8WT85C6R6H2D6ATV
Josefina,70,8,Cotton Sarees,India,2283,352,4854,Josefina Holsall,9/25/2022,01JGGCHARPQW6P855XC5TARDPV
Astrix,32,8,Silk Sarees,India,5780,141,192,Astrix Pitkeathly,1/30/2024,01JGGCHARQT0F9SD92S3EJHYBE
Magda,21,6,Silk Sarees,India,8483,204,7788,Magda Hawkeridge,4/27/2024,01JGGCHARRK671VTCFZPW19V4T
Jaquenetta,57,15,Modern Sarees,India,8572,322,3324,Jaquenetta Treleven,5/12/2023,01JGGCHARSK5RES8RCV81JW4MV
Annmaria,47,1,Silk Sarees,India,2115,92,6491,Annmaria Handslip,11/26/2022,01JGGCHARTQSRNBA0WMEJTNH1Y
Peggie,80,14,Silk Sarees,India,7909,264,8860,Peggie Brandoni,3/26/2024,01JGGCHARVKN2PVR605GVFDY52
Carine,79,9,Embroidered Sarees,India,5645,160,382,Carine Matejic,8/18/2023,01JGGCHARWJEN6ZFEW7Y069CRD
Raquela,26,5,Modern Sarees,India,9718,229,2965,Raquela Dripps,5/8/2024,01JGGCHARYS2PSBZSVZDWWGR5K
Nissie,50,4,Cotton Sarees,India,8607,199,8351,Nissie Tukely,11/11/2022,01JGGCHARZMT22DJ3QCXC2VAS0
Rivy,27,8,Embroidered Sarees,India,7998,54,1804,Rivy Olliar,6/12/2023,01JGGCHAS0JMJC0KSTR86GP1TW
Min,59,11,Regional Specials,India,9615,236,4494,Min Loch,2/21/2023,01JGGCHAS197QM5JX5BAE6HKQA
Demeter,67,7,Embroidered Sarees,India,2201,217,3126,Demeter Cookes,8/18/2024,01JGGCHAS2FYGN25N64RHYQB2D
Geri,38,11,Silk Sarees,India,7439,321,5657,Geri Stern,10/31/2024,01JGGCHAS3H9SK4GKCX88J6882
Carie,76,6,Handloom Sarees,India,1775,193,184,Carie Clelle,12/17/2023,01JGGCHAS4EA9E5JP5JZHA3JMN
Kelli,77,12,Embroidered Sarees,India,9057,262,2765,Kelli Brunel,8/11/2023,01JGGCHAS6T5CS9X3W4ZZSB4VN
Lilli,49,2,Regional Specials,India,1138,79,3560,Lilli Garlant,11/7/2024,01JGGCHAS8R32SFY0WBHK5XKR7
Elmira,76,4,Modern Sarees,India,165,259,2007,Elmira Enever,12/13/2023,01JGGCHAS95P09EZT30P1E6CGX
Kai,75,4,Embroidered Sarees,India,8776,108,1385,Kai Mitchard,1/2/2023,01JGGCHASBA2M4SW6E5PJD0KW7
Jennifer,58,14,Modern Sarees,India,885,75,2844,Jennifer Heynen,7/10/2023,01JGGCHASE5FAGK20JDF5T02DY
Keslie,62,2,Handloom Sarees,India,5075,198,5027,Keslie Cunradi,3/23/2024,01JGGCHASGS7XH7ZP13JE5DF3S
Lurlene,44,6,Regional Specials,India,1819,14,2068,Lurlene Kitley,9/22/2022,01JGGCHASK61T0FCE7B56MBM1B
Darleen,22,1,Modern Sarees,India,8344,295,6997,Darleen Mines,2/24/2023,01JGGCHASP0YDFWZ1MWC7HW5CA
Joanna,29,8,Handloom Sarees,India,3232,153,6115,Joanna Dalliston,6/20/2023,01JGGCHASS4AQBM9C433PBQS3E
Calley,27,3,Modern Sarees,India,165,359,9245,Calley MacKereth,10/9/2022,01JGGCHAST4N1BB552H7103JT9
Cynthie,71,5,Embroidered Sarees,India,3114,88,6856,Cynthie MacLaverty,2/2/2024,01JGGCHASWD956NHVGG9FAK7WY
Nanci,27,4,Embroidered Sarees,India,7790,158,6155,Nanci Ghest,8/7/2022,01JGGCHASXT86SAG5G3Z6PTHE7
Codi,28,15,Regional Specials,India,4334,21,312,Codi Whines,9/20/2024,01JGGCHASYW3BN48YQ0T4XS1WX
Fred,38,9,Silk Sarees,India,1975,29,3713,Fred Kemell,11/1/2022,01JGGCHASZZRGFMAV97KRT6P5B
Cyndie,20,3,Handloom Sarees,India,4226,366,3295,Cyndie Tomsu,6/23/2023,01JGGCHAT1MRBDFDMRAZ5H3R55
Henryetta,23,1,Cotton Sarees,India,9256,88,2592,Henryetta Griston,6/29/2023,01JGGCHAT2SQC0C8749XVTVD7Y
Fanchette,74,5,Modern Sarees,India,9732,331,8143,Fanchette Saltsberg,9/20/2023,01JGGCHAT5PRBWAB68TZR7R3SW
Brier,51,5,Silk Sarees,India,5296,25,5382,Brier Petrillo,8/9/2023,01JGGCHAT69TGEXYV8YJB2BZ13
Cissy,80,13,Handloom Sarees,India,3509,116,552,Cissy Willes,12/10/2024,01JGGCHAT9N3QT6CC5NWDXYXCT
Roxana,79,11,Embroidered Sarees,India,3313,235,6746,Roxana Melbury,11/18/2022,01JGGCHATB3V0A7482X6XWTRN3
Ottilie,37,8,Silk Sarees,India,9047,117,3519,Ottilie Heilds,8/3/2022,01JGGCHATCTFTER716X0VBT330
Silvia,56,8,Modern Sarees,India,5096,5,4064,Silvia Lancetter,6/15/2022,01JGGCHATFRD0M1G6SRYK23DKJ
Kynthia,62,15,Modern Sarees,India,735,90,7540,Kynthia Reisin,8/3/2023,01JGGCHATH5E6PZH3NYXGVFGP5
Dorolisa,37,5,Handloom Sarees,India,2129,233,4576,Dorolisa Macey,4/25/2023,01JGGCHATJXRMYD4ZFAKB4NDD6
Reba,28,2,Modern Sarees,India,6471,11,1631,Reba Marioneau,6/18/2023,01JGGCHATKP8ESBYKK57T6QXBT
Marilyn,77,9,Modern Sarees,India,8608,177,9400,Marilyn Whelband,3/27/2023,01JGGCHATMKKE27EDWB7W3C35S
Judy,24,3,Silk Sarees,India,7497,33,9582,Judy Follit,2/17/2023,01JGGCHATP25S8K1417W03TAWR
Lani,42,9,Handloom Sarees,India,8745,274,7777,Lani Mahaddie,9/28/2024,01JGGCHATQYPKWCHYHZR5831NC
Shirleen,56,2,Modern Sarees,India,2372,214,4200,Shirleen Haldane,3/19/2023,01JGGCHATRXAVPS1XFQ15AV6V3
Berny,33,4,Handloom Sarees,India,436,280,195,Berny Urian,2/19/2024,01JGGCHATT4PEFC2S7KFN929T5
Anabella,43,11,Regional Specials,India,7433,102,8520,Anabella Rocca,9/14/2022,01JGGCHATV0ZA15G08CYP1R0ME
Tiphany,73,15,Cotton Sarees,India,4321,276,8825,Tiphany Mirrlees,7/15/2024,01JGGCHATWREA00E9ZB579H4YR
Rosalyn,37,7,Silk Sarees,India,7855,237,6056,Rosalyn Puvia,9/26/2022,01JGGCHATYNABH6F9WQCKVB19Q
Harriot,54,13,Modern Sarees,India,8538,315,9494,Harriot Levinge,6/8/2024,01JGGCHATZ5AE8B4T5YJK2BZVY
Trina,30,1,Embroidered Sarees,India,2699,60,3023,Trina Braitling,3/5/2024,01JGGCHAV02KB2VX6H42F69CDR
Jannelle,55,1,Handloom Sarees,India,6357,371,3876,Jannelle Kiljan,7/21/2023,01JGGCHAV3G2N9CAQKKCG0DFYS
Cinderella,49,14,Silk Sarees,India,6829,279,1981,Cinderella Croasdale,9/11/2023,01JGGCHAV5A6RWGRMJ5A136T0R
Rochell,38,6,Embroidered Sarees,India,9358,330,5161,Rochell Dwerryhouse,2/19/2023,01JGGCHAV67F8EKJ1BDT8F1FX3
Tandi,21,5,Regional Specials,India,8818,56,7028,Tandi Osborne,6/25/2024,01JGGCHAV73XZNM9X6A9NXPTZR
Pauli,38,15,Silk Sarees,India,9154,176,9520,Pauli Tremmil,1/17/2024,01JGGCHAV97SPKP5GKGR49DETT
Harriett,76,8,Regional Specials,India,2085,353,3050,Harriett Castelluzzi,6/16/2024,01JGGCHAVAZW2ZM3ATW90WGG14
Vally,60,9,Embroidered Sarees,India,2306,159,5170,Vally Job,6/10/2024,01JGGCHAVBXDVZ2T9ABGRQVX61
Adoree,36,15,Handloom Sarees,India,3415,77,6079,Adoree Nend,7/1/2022,01JGGCHAVCVEE0YGFPXPJXTN29
Lenette,43,10,Modern Sarees,India,2108,96,4878,Lenette Tomblings,12/19/2024,01JGGCHAVDBBY3W6R26HMF6PEX
Stepha,61,8,Silk Sarees,India,8043,163,755,Stepha Heims,10/23/2023,01JGGCHAVET01YXHVBBAXGXE9X
Lucille,29,1,Modern Sarees,India,7618,91,4854,Lucille Duggen,8/9/2022,01JGGCHAVFPMR4EW18C6XVMWEQ
Kimmi,28,3,Embroidered Sarees,India,8848,387,8114,Kimmi Dreier,10/7/2024,01JGGCHAVHCPBKGGJ4ZQX0C95Q
Aimil,35,4,Cotton Sarees,India,2475,2,5821,Aimil Tilston,2/18/2024,01JGGCHAVK2RCSWMEJJYSRKWF9
Krystle,40,8,Regional Specials,India,1021,370,2704,Krystle Jerger,6/12/2023,01JGGCHAVNH3YHZ26PJWJHB5C9
Florinda,41,6,Handloom Sarees,India,7149,42,2283,Florinda Popple,1/27/2024,01JGGCHAVQC2YAXAS4N7Y4458Y
Clarey,79,11,Cotton Sarees,India,4866,397,5141,Clarey Walwood,1/17/2023,01JGGCHAVRNH8SDZ7SCE0ZRHBP
Belvia,25,11,Handloom Sarees,India,8938,72,4115,Belvia Jorge,4/2/2023,01JGGCHAVSVZZA6V6VGV1ETP3B
Kandace,23,1,Embroidered Sarees,India,621,160,4228,Kandace Stanyer,12/6/2024,01JGGCHAVVD2MS0NMF1EZG6A0N
Annalee,53,1,Silk Sarees,India,5306,198,9178,Annalee Goodboddy,10/23/2023,01JGGCHAVWSM6DR491YJPS1Q1R
Ryann,62,14,Embroidered Sarees,India,1696,394,6589,Ryann Siderfin,12/10/2024,01JGGCHAVXQQ0ZHK7TRR54M4RA
Blaire,28,15,Regional Specials,India,7786,179,5259,Blaire Deery,2/5/2023,01JGGCHAVYH7KN6Y0VEA45HMQT
Jeannie,41,6,Silk Sarees,India,9007,112,8239,Jeannie Bussens,1/1/2024,01JGGCHAVZ27BMDYYR240FH268
Merrili,32,8,Regional Specials,India,6664,103,6274,Merrili Windrus,12/17/2024,01JGGCHAW0SK2S46VGMBKHMFWB
Phillida,74,8,Embroidered Sarees,India,1881,99,1829,Phillida Gallehock,7/13/2023,01JGGCHAW18VMQW5VDV0FFGWMZ
Dre,57,8,Handloom Sarees,India,3011,89,6412,Dre Sammon,12/1/2023,01JGGCHAW2EZA4J4T7YF0VZ4WZ
Aundrea,37,9,Cotton Sarees,India,89,259,227,Aundrea Gossington,10/22/2024,01JGGCHAW46M2SYH3MCVWNK39M
Jorrie,48,2,Modern Sarees,India,6812,221,8652,Jorrie Fenck,5/3/2024,01JGGCHAW54T7FM951GWY836EV
Vernice,28,11,Regional Specials,India,213,204,6834,Vernice Loidl,6/12/2024,01JGGCHAW8PRNB7CE4Q2S49CJG
Elora,80,9,Modern Sarees,India,29,244,4130,Elora Sich,8/31/2022,01JGGCHAWAP3BNP9AMN7KJAJAF
Bernita,69,10,Embroidered Sarees,India,6166,343,4000,Bernita O'Shaughnessy,2/15/2023,01JGGCHAWBCFMMWVETGBGDB98P
Phylis,66,7,Cotton Sarees,India,3433,158,6850,Phylis Rooke,7/26/2023,01JGGCHAWEBAQ7D8DNCWESMHSB
Bonita,26,6,Modern Sarees,India,8730,6,1686,Bonita Dewan,12/14/2023,01JGGCHAWHBAF65DDFPR84QER3
Salomi,43,12,Embroidered Sarees,India,6773,33,8344,Salomi Gehrels,11/7/2024,01JGGCHAWKX78QTFMD1WTMPPQF
Daria,50,10,Regional Specials,India,10,361,7902,Daria Obin,11/11/2024,01JGGCHAWM6GS02WM5BKKSTKVB
Rosene,68,1,Silk Sarees,India,4445,154,3900,Rosene Domerc,12/25/2023,01JGGCHAWNQDAWVZAQ2PZG8AE2
Nikoletta,48,2,Modern Sarees,India,29,335,5605,Nikoletta Boyn,8/30/2024,01JGGCHAWQQHSD4H7EXCJK5WC2
Celine,52,14,Embroidered Sarees,India,3622,141,9347,Celine Lanchbury,12/9/2022,01JGGCHAWR3VDSVF4PAH8DSPSP
Delila,80,10,Handloom Sarees,India,8354,243,5388,Delila Peckett,10/13/2024,01JGGCHAWSDYAFM6QM407T4ZQJ
Elfrida,68,14,Cotton Sarees,India,3311,305,7352,Elfrida Alleway,12/25/2022,01JGGCHAWTCEH46J9R8ERK46MD
Angelica,27,11,Cotton Sarees,India,914,312,6776,Angelica Simister,12/27/2024,01JGGCHAWV1T0PMA1GHV0QP8XR
Yelena,42,1,Silk Sarees,India,466,323,3004,Yelena O'Nions,1/22/2024,01JGGCHAWYKPZ767YTN2FC1KFD
Gwendolin,37,11,Cotton Sarees,India,3015,184,1499,Gwendolin Scutcheon,8/3/2023,01JGGCHAX0EE4ZM28VJ85X6WDN
Kay,49,13,Cotton Sarees,India,1823,65,8836,Kay Breazeall,8/10/2023,01JGGCHAX1ZNA88K6RNVH617GM
Janna,45,5,Embroidered Sarees,India,2602,305,5776,Janna Polly,12/28/2024,01JGGCHAX20PDKKD51KPSXYD7H
Dale,55,13,Regional Specials,India,9636,347,9631,Dale Adamides,7/10/2023,01JGGCHAX4ZBYBHF48ZDHQTJJM
Blondy,45,14,Silk Sarees,India,2790,220,5171,Blondy Mouat,4/26/2023,01JGGCHAX52K3ZKPK413JQ0968
Ines,72,3,Silk Sarees,India,9182,39,7718,Ines Dyer,6/22/2022,01JGGCHAX6PZXT0RJACY34JZSG
Myrtia,23,2,Handloom Sarees,India,5232,82,1285,Myrtia Cornels,9/15/2023,01JGGCHAX7XC1T9RC8C8C41358
Arlie,52,11,Silk Sarees,India,7119,251,2253,Arlie Boick,2/28/2024,01JGGCHAX8T76YGNFZT31YAXP0
Edyth,53,7,Modern Sarees,India,1138,163,8285,Edyth Tiuit,5/29/2023,01JGGCHAXA9T1ET5WM61Z7ZREP
Arlen,35,11,Silk Sarees,India,5647,347,9269,Arlen O'Ruane,12/9/2023,01JGGCHAXCWV0JE8CTDFG6NPGP
Kore,36,14,Modern Sarees,India,30,247,3215,Kore Ivashov,1/8/2023,01JGGCHAXET9WT5GCJREJ7M970
Aurora,26,10,Handloom Sarees,India,8867,270,402,Aurora MacElroy,8/11/2024,01JGGCHAXFWBM0A562Y4J9BAWN
Nara,63,2,Cotton Sarees,India,1699,400,173,Nara Bohin,12/23/2024,01JGGCHAXGVZS2VPAPG6360ST7
Beatriz,61,15,Silk Sarees,India,2662,151,4545,Beatriz Dubbin,6/7/2024,01JGGCHAXJ6C8VAD52D98MNHXJ
Emalia,56,8,Cotton Sarees,India,1917,332,2123,Emalia MacCaughan,12/2/2024,01JGGCHAXKHA4JFAFHWCD9WZB4
Jacqui,35,1,Cotton Sarees,India,6129,233,3436,Jacqui de Villier,12/15/2022,01JGGCHAXM6RM16FXSZ41EYYCA
Melonie,64,4,Regional Specials,India,4938,73,9294,Melonie Peedell,11/13/2024,01JGGCHAXNBXG0BJS942VRDS1H
Roze,36,1,Modern Sarees,India,3814,235,8918,Roze McKea,8/9/2024,01JGGCHAXP8S8S9EMPKW43D251
Illa,71,10,Silk Sarees,India,5807,43,9449,Illa Bolens,4/28/2023,01JGGCHAXQ5SE2M5ARQD1HYTA9
Kelsy,63,12,Regional Specials,India,6901,212,7498,Kelsy Murrey,10/16/2024,01JGGCHAXRK2G4ZBTVX5246FFR
Ethelind,24,5,Cotton Sarees,India,8402,329,4915,Ethelind Pock,6/20/2023,01JGGCHAXS97VRFHBM3YQMPQKB
Dyanna,24,2,Embroidered Sarees,India,2694,13,9603,Dyanna Kerrey,9/22/2022,01JGGCHAXTFYV6YX1ZQSDK9MNW
Celle,62,7,Handloom Sarees,India,2659,232,4186,Celle Lamberth,10/26/2023,01JGGCHAXVWNZHSSTBHP1MFBYC
Celisse,51,2,Modern Sarees,India,5303,51,6273,Celisse Highwood,7/14/2023,01JGGCHAXWSPBJDA2PW47W9DDT
Jeannie,34,10,Regional Specials,India,2070,39,4859,Jeannie Aldam,7/8/2022,01JGGCHAXYKX0WV6XDGS02HXF0
Carol-jean,73,1,Handloom Sarees,India,2178,43,9107,Carol-jean Rendle,6/2/2024,01JGGCHAXZKABN1FM1KHVJTD8P
Katalin,57,10,Modern Sarees,India,7810,26,832,Katalin Tracy,9/5/2023,01JGGCHAY0MWZ58RYHM5FPN6GY
Fallon,66,7,Embroidered Sarees,India,3892,288,3307,Fallon Marre,7/20/2022,01JGGCHAY2B19NVMRSS3V20NRB
